2020-01-22,China,Hubei,30.9756,112.2707,444,28,17
2020-01-23,China,Hubei,30.9756,112.2707,444,28,17
2020-01-24,China,Hubei,30.9756,112.2707,549,31,24
2020-01-25,China,Hubei,30.9756,112.2707,761,32,40
2020-01-26,China,Hubei,30.9756,112.2707,1058,42,52
2020-01-27,China,Hubei,30.9756,112.2707,1423,45,76
2020-01-28,China,Hubei,30.9756,112.2707,3554,80,125
2020-01-29,China,Hubei,30.9756,112.2707,3554,88,125
2020-01-30,China,Hubei,30.9756,112.2707,4903,90,162
2020-01-31,China,Hubei,30.9756,112.2707,5806,141,204
2020-02-01,China,Hubei,30.9756,112.2707,7153,168,249
2020-02-02,China,Hubei,30.9756,112.2707,11177,295,350
2020-02-03,China,Hubei,30.9756,112.2707,13522,386,414
2020-02-04,China,Hubei,30.9756,112.2707,16678,522,479
2020-02-05,China,Hubei,30.9756,112.2707,19665,633,549
2020-02-06,China,Hubei,30.9756,112.2707,22112,817,618
2020-02-07,China,Hubei,30.9756,112.2707,24953,1115,699
2020-02-08,China,Hubei,30.9756,112.2707,27100,1439,780
2020-02-09,China,Hubei,30.9756,112.2707,29631,1795,871
2020-02-10,China,Hubei,30.9756,112.2707,31728,2222,974
2020-02-11,China,Hubei,30.9756,112.2707,33366,2639,1068
2020-02-12,China,Hubei,30.9756,112.2707,33366,2686,1068
2020-02-13,China,Hubei,30.9756,112.2707,48206,3459,1310
2020-02-14,China,Hubei,30.9756,112.2707,54406,4774,1457
2020-02-15,China,Hubei,30.9756,112.2707,56249,5623,1596
2020-02-16,China,Hubei,30.9756,112.2707,58182,6639,1696
2020-02-17,China,Hubei,30.9756,112.2707,59989,7862,1789
2020-02-18,China,Hubei,30.9756,112.2707,61682,9128,1921
2020-02-19,China,Hubei,30.9756,112.2707,62031,10337,2029
2020-02-20,China,Hubei,30.9756,112.2707,62442,11788,2144
2020-02-21,China,Hubei,30.9756,112.2707,62662,11881,2144
2020-02-22,China,Hubei,30.9756,112.2707,64084,15299,2346
2020-02-23,China,Hubei,30.9756,112.2707,64084,15343,2346
2020-02-24,China,Hubei,30.9756,112.2707,64287,16748,2495
2020-02-25,China,Hubei,30.9756,112.2707,64786,18971,2563
2020-02-26,China,Hubei,30.9756,112.2707,65187,20969,2615
2020-02-27,China,Hubei,30.9756,112.2707,65596,23383,2641
2020-02-28,China,Hubei,30.9756,112.2707,65914,26403,2682
2020-02-29,China,Hubei,30.9756,112.2707,66337,28993,2727
2020-03-01,China,Hubei,30.9756,112.2707,66907,31536,2761
2020-03-02,China,Hubei,30.9756,112.2707,67103,33934,2803
2020-03-03,China,Hubei,30.9756,112.2707,67217,36208,2835
2020-03-04,China,Hubei,30.9756,112.2707,67332,38557,2871
2020-03-05,China,Hubei,30.9756,112.2707,67466,40592,2902
2020-03-06,China,Hubei,30.9756,112.2707,67592,42033,2931
2020-03-07,China,Hubei,30.9756,112.2707,67666,43500,2959
2020-03-08,China,Hubei,30.9756,112.2707,67707,45235,2986
2020-03-09,China,Hubei,30.9756,112.2707,67743,46488,3008
2020-03-10,China,Hubei,30.9756,112.2707,67760,47743,3024
2020-03-11,China,Hubei,30.9756,112.2707,67773,49134,3046
2020-03-12,China,Hubei,30.9756,112.2707,67781,50318,3056
2020-03-13,China,Hubei,30.9756,112.2707,67786,51553,3062
2020-03-14,China,Hubei,30.9756,112.2707,67790,52960,3075
2020-03-15,China,Hubei,30.9756,112.2707,67794,54288,3085
2020-03-16,China,Hubei,30.9756,112.2707,67798,55142,3099
2020-03-17,China,Hubei,30.9756,112.2707,67799,56003,3111
2020-03-18,China,Hubei,30.9756,112.2707,67800,56927,3122
2020-03-19,China,Hubei,30.9756,112.2707,67800,57682,3130
2020-03-20,China,Hubei,30.9756,112.2707,67800,58382,3133
2020-03-21,China,Hubei,30.9756,112.2707,67800,58946,3139
2020-03-22,China,Hubei,30.9756,112.2707,67800,59433,3153
2020-03-23,China,Hubei,30.9756,112.2707,67800,59879,3153
2020-03-24,China,Hubei,30.9756,112.2707,67801,60324,3160
2020-03-25,China,Hubei,30.9756,112.2707,67801,60811,3163
2020-03-26,China,Hubei,30.9756,112.2707,67801,61201,3169
2020-03-27,China,Hubei,30.9756,112.2707,67801,61732,3174

